receipt,meat_level,ingrs,time,front_ingrs,name,minutes
"Предварительно размягчить сливочное масло. Шнитт-лук и петрушку мелко нарезать. Чеснок можно также нарезать или пропустить через чесночницу. Далее нужно, сперва обварив лимон в кипятке, выдавить из него сок, а цедру перетереть. После этого, тщательно перемешать в мисочке масло, шнитт-лук, петрушку, чеснок, лимонный сок и цедру. Полученную смесь охладить в морозилке. Для этого лучше всего завернуть её в пищевую плёнку или фольгу. Затем обработать курятину. Делается это так: сначала промыть грудки, затем завернуть в полиэтилен или просто положить в пакет и аккуратно раскатать скалкой на столе. Цель - сделать их достаточно тонкими. Отбивать их при этом не рекомендуется. После этого следует посолить курятину и поперчить - по вкусу. Далее, каждый кусок нежной птичей грудки нужно свернуть таким образом, чтобы можно было положить во внутрь кусочек предварительно приготовленной и замороженной смеси масла со специями. Следует обратить внимание, что обязательно нужно закрепить полученный брикет так, чтобы из него во время жарки не вытекал «сок». Яйца следует взбить в отдельной посуде, добавив немного воды (1 ст. ложка). Котлеты по-киевски обмакнуть, сперва, во взбитом яйце, а затем в муке. После этого посыпать сухарями или просто обвалять в них. Теперь котлеты по-киевски готовы к термической обработке. Жарить птичьи котлеты следует во фритюре в течение 9-11 минут. Оставшуюся начинку из масла всегда можно будет так же использовать, например - сделать бутерброды.",мясоед,"курица, масло, яйцо, мука, панировочные сухари, лимон, соль, перец, лук, чеснок",ужин,1 кг. Куриная грудка 250 г. Масло сливочное 2  шт. Яйцо куриное 0.5 стак. Мука 0.5  стак. Сухари панировочные 20  г. Вода 3  ст. л. Лимонный сок 2  ст. л. Лимонная цедра по вкусу Зелень петрушки по вкусу Шнитт-лук по вкусу Чеснок по вкусу Соль по вкусу Перец черный молотый,Куриные котлеты по-киевски классические,70
"Промытое филе нарубите на маленькие кусочки (1,5 см). Лук почистите и нашинкуйте. Смешайте его с рыбой. Также добавьте укроп. Внесите к ингредиентам перец, соль и яйца. Замешайте фарш. Разогрейте масло на сковороде. Сформируйте из фарша котлетки. Жарьте их с каждой стороны до румяного цвета. Приятного аппетита!",мясоед,"щука, лук, яйцо, укроп, масло, соль, перец",обед,"200 г. Щука филе 1 шт. Репчатый лук 2  шт. Яйцо 3 ст.л. Укроп рубленный 5  ст.л. Растительное масло 0,5  ч.л. Соль 0,3  ч.л. Чёрный молотый перец
",Рубленные рыбные котлеты,40
"Лук очистить и нарезать кольцами или полукольцами. Сыр натереть на крупной терке. Мясо вымыть, обсушить и нарезать поперек волокон на пласты толщиной 1 см. Каждый пласт мяса хорошо отбить, посолить и поперчить. На смазанный маслом противень выложить мясо. Сверху на мясо, положить лук (не очень толстым слоем). Полить мясо майонезом. Посыпать тертым сыром. Запекать в течение 25 минут при температуре180 градусов. Готовому мясу дать настояться 10–15 минут. Подавать горячим, посыпав зеленью.",мясоед,"свинина, лук, сыр, перец, майонез, соль, зелень",ужин,3 шт. Репчатый лук 500 г. Свинина 300  г. Твердый сыр по вкусу Свежемолотый черный перец 400  г. Майонез по вкусу Соль по вкусу Зелень,"Мясо по‑французски
",50
"Сначала сделайте из вареной картошки пюер. Затем смешайте пюре с обжаренным луком. Если нужно, посолите. Теперь займемся тестом: соль и соду растворите в воде, постепенно добавляйте муку, пока не замесится тесто нужной консистенции. Тесто должно быть пластичным, но плотным. Раскатайте тесто, наделайте кружочков, и теперь начинаем лепить вареники, не забывая выкладывать картофельную начинку в центр каждого кружочка теста. Вареники можно сразу отварить в кипятке, а можно отправить в морозилку и оставить на потом. Вот такие красивые вареники вегетарианские получаются. Приятного аппетита!",вегетарианец,"картошка,лук,оливковое масло,соль,сода,вода,мука",ужин,"4 шт. Картошка 0,5 шт. Лук 1  ст.л. Оливковое масло 1 ч.л. Соль 0,5  ч.л. Сода 1  Чашка Вода  По вкусу Мука",Вареники вегетарианские,65
"Для теста смешать 0,5 килограмма пшеничной муки и 430 грамм картофельного крахмала, разбить в смесь 4 яйца, размять массу руками. Постепенно влить холодную воду, начав с одной столовой ложки, и добавлять по ­необходимости: тесто должно стать однородным. Положить ком на присыпанную мукой ­поверхность и хорошо его размять, тесто должно стать шелковистым и не липнуть к рукам. Накрыть пленкой, дать постоять при комнатной температуре двадцать минут. Раскатать в пласт толщиной 3 мм и вырезать кружки диаметром около 8 см. Очищенные и разрезанные пополам картофелины закинуть в кастрюлю с водой, туда же отправить луковицу и морковь; их можно предварительно обжечь горелкой для более сильного вкуса. Поставить кастрюлю на средний огонь. Добавить лавровый лист и специи по вкусу, посолить и варить до мягкости картошки. Лук и морковь выбросить, воду слить. Нарезать шампиньоны и оставшийся лук мелкими кубиками, обжарить на растительном масле до мягкости, дать остыть. Картофель превратить в пюре толкушкой, смешать с луком и шампиньонами. Попробовать, посолить и поперчить, если нужно. Слепить вареники: на один кружок теста брать примерно две чайные ложки начинки. Можно взять и больше — для крупных вареников. В кастрюле довести полтора литра воды до кипения: за­брасывать вареники в нее ­порциями по 9–10 штук. После того как они всплывут, варить их еще семь минут до готовности. Вареники положить в тарелку, полить растопленным сливочным маслом и сметаной.",веган,"тесто,картофель,лук,морковь,гриб,масло,сметана,соль,перец",завтрак,1 кг. Тесто для вареников ½ кг. Картофель 3  шт. Репчатый лук 1 шт. Морковь 100  г. Шампиньоны 20  мл. Растительное масло 80  г. Сливочное масло 150  г. Сметана 1 шт. Лавровый лист по вкусу Специи по вкусу Соль по вкусу Молотый черный перец,Вареники с картошкой и грибами,55
"Для теста смешать 0,5 килограмма пшеничной муки и 430 грамм картофельного крахмала, разбить в смесь 4 яйца, размять массу руками. Постепенно влить холодную воду, начав с одной столовой ложки, и добавлять по ­необходимости: тесто должно стать однородным. Положить ком на присыпанную мукой ­поверхность и хорошо его размять, тесто должно стать шелковистым и не липнуть к рукам. Накрыть пленкой, дать постоять при комнатной температуре двадцать минут. Раскатать в пласт толщиной 3 мм и вырезать кружки диаметром около 8 см. Куриное филе отварить до готовности в подсоленной воде. Бульон не выливать — он пригодится позже, а мясо пропустить через мясорубку. Две луковицы и грибы мелко нарезать и обжарить на растительном масле до мягкости лука, примерно шесть минут. Перемешать куриный фарш с луком и грибами, попробовать, посолить и поперчить при необходимости. Измельчить петрушку и укроп, добавить в начинку, все пере­мешать. Приготовить карамелизованный лук: две оставшиеся луковицы нарезать полукольцами, обжарить на сливочном масле и тушить на медленном огне в течение пятнадцати минут. Луковая масса должна потемнеть и стать вязкой. Слепить вареники: в каждый положить две чайные ложки начинки. Или больше — для крупных вареников. Сварить в кипящей воде: каждая порция будет вариться семь-восемь минут. Подать, украсив карамелизованным луком.",мясоед,"тесто,курица,гриб,лук,укроп,петрушка,масло,соль,перец",обед,1 кг. Тесто для вареников 150 г. Шампиньоны 700  г. Куриное филе 4 шт. Репчатый лук 3  шт. Стебли укропа 3  стебля Петрушка 20  мл Растительное масло 30  г. Сливочное масло по вкусу Соль по вкусу Молотый черный перец,Вареники с курицей и грибами,55
"Для теста смешать 0,5 килограмма пшеничной муки и 430 грамм картофельного крахмала, разбить в смесь 4 яйца, размять массу руками. Постепенно влить холодную воду, начав с одной столовой ложки, и добавлять по ­необходимости: тесто должно стать однородным. Положить ком на присыпанную мукой ­поверхность и хорошо его размять, тесто должно стать шелковистым и не липнуть к рукам. Накрыть пленкой, дать постоять при комнатной температуре двадцать минут. Раскатать в пласт толщиной 3 мм и вырезать кружки диаметром около 8 см. В глубокую сковороду налить рафинированное растительное масло, поставить на средний огонь. Слепить вареники. В середину каждого кружка положить три-че­ты­ре замороженных вишни, присыпать хорошей щепот­кой са­хара, добавить немного зерен ванили, выскобленных из стручков. Скрепить края. Опустить порцию вареников в разогретое масло: вынуть ­шумовкой через три-четыре ­минуты, когда они станут золотистыми, положить в тарелку. Посыпать сахарной пудрой.",веган,"тесто,сахар,вишня,ваниль,масло",завтрак,1 кг. Тесто для вареников 150 г. Сахар 1  кг. Замороженная вишня 2 шт. Ванильный стручок 1  л Растительное масло,Вареники с вишней во фритюре,80
"Все ингредиенты перемешать и на ночь отправить в холодильник. А если утром замесили, то минут на 20–25 отправить в морозилку. Затем посыпать стол манкой или мукой и сделать из этой массы творожной колбаску, разрезать на маленькие части и отправить в кипящую воду. Варить 5 минут после закипания. При подаче полить йогуртом и посыпать ягодами.",веган,"яйцо,творог,мука",завтрак,2 шт. Яйцо куриное 500 г. Творог 1%-ный 3  г. Пшеничная мука,Ленивые творожные вареники,30
"Все овощи посолите, поперчите и обжарьте (кроме помидоров) порциями на сковороде, разогретой с оливковым маслом. Выложите на бумажные полотенца. Фету нарежьте крупными кубиками. В форму выложите слоями баклажаны, фету, кабачки, помидоры, фету, перец, помидоры, фету, баклажаны. Полейте лазанью соевым соусом и запекайте в духовке 30 минут при 200 °С.",веган,"баклажан,кабачок,перец,помидор,сыр,базилик,соевый соус,соль,перец,масло",ужин,2 шт. Баклажан 1 шт. Кабачок 1  шт. Перец сладкий болгарский 2 шт. Помидор 250  г. Фета по вкусу Базилик 2  ст. л. Соевый соус по вкусу Поваренная соль по вкусу Перец черный молотый по вкусу Оливковое масло,Лазанья без теста,40
"Чистим кабачок. а потом подобным образом, словно продолжая чистить, «нарезаем» его на тонкие длинные полосы Готовим соус: взбиваем в блендере томаты, перец и специи. Выстилаем форму слоем кабачковых полосок, промазываем соусом и выкладываем начинку (я приготовила курочку в пароварке и выкладывала уже готовую. Если ваша начинка из овощей, мелко порубите их и добавьте) и снова выкладываем слой кабачков, соуса, начинки, кабачков, соуса. Сверху посыпаем тертым сыром. Ставим в духовку, разогретую до 180–200 градусов, и готовим до румяной сырной корочки примерно 20 минут. Подавать на стол можно прямо в форме или выложить на тарелку.",мясоед,"курица,кабачок,перец,сыр,помидор",ужин,1 кг. Кабачки 1 шт. Сладкий перец 200  г. Куриная грудка по вкусу Специи 100  г. Сыр 1  кг. Помидоры,Лазанья из кабачков,50
"Готовый бисквитный корж у меня был один, но толстый. Поэтому я его разрезала и, по сути, сделала свои ""савоярди"". Теперь займемся кремом: белки от желтков отделите. Белки должны быть холодными, держите их в холодильнике до взбивания. Желтки смешайте и взбейте с сахаром (я добавляю парочку чайных ложек). Белки тоже взбейте с сахаром и щепоткой соли в пену. Маскарпоне разомните вилкой, затем в него добавьте взбитые желтки. Постепенно добавляйте и белки. Взбивайте на небольшой скорости. Крем должен выйти однородным и густым. Начинаем собирать тирамису: смажьте дно формы кремом. Разрезанный бисквит обмакните в смесь кофе и ликера. Затем выложите его поверх крема. Сверху вылейте оставшийся крем. Процедуру можете повторять, пока будет хватать бисквита и крема. Но два слоя — более чем достаточно. Последний слой должен быть из крема. Сверху можете посыпать тирамису какао-порошком или тертым шоколадом. Советую дать тирамису пропитаться в холодильнике часок. Десерт станет намного вкуснее! Вот такой красивый и вкусный тирамису из готовых коржей получается. Приятного чаепития!",веган,"маскарпоне,сыр,бисквит,яйцо,кофе,ликер,сахар,шоколад,какао",перекус,300 г. Маскарпоне 1 шт. Бисквитный корж 4  шт. Яйца 300 мл. Кофе 50  г. Ликер по вкусу Сахар по вкусу Шоколад или какао-порошок,Тирамису из готовых бисквитных коржей,25
"Подготовить ингредиенты. Разрезать тостовый хлеб по диагонали или пополам. Выложить хлеб на противень, по возможности смазать его майонезом. Сверху положить лист салата. Нарезать болгарский перец длинной соломкой. Помидор нарезать кружочками, сыр - длинными пластами. Шампиньоны нарезать слайсами, масло - маленькими кубиками. Выложить на хлеб с салатом болгарский перец, шампиньоны, помидор, сливочное масло. Сверху закрыть сыром. Поставить противень в предварительно разогретую до 200˚С духовку на 5 минут. Готово! Приятного аппетита!",веган,"хлеб,перец,гриб,помидор,сыр,салат,майонез,горчица,масло",перекус,50 г. Хлеб 1 шт. Перец болгарский (паприка) 2  шт. Шампиньоны 1 шт. Помидоры 50  г. Сыр 30  г. Салат 25  г. Майонез 25  г. Горчица 40 г. Масло сливочное,Горячие бутерброды с шампиньонами,20
"Свежие и чистые (без темных пятен) шампиньоны нужно очистить от кожицы, нарезать на некрупные кусочки, немного посолить и обжарить в масле в сковороде. Поджаренные грибочки немного остудить. Далее наши сочные спелые помидорчики нарезаем кубиками. Грудинку курицы нужно отварить в чуть подсоленной воде, потом также необходимо нарезать их кубиками. Всё, можно всё тщательно перемешать и добавить немного лимонного сока. Теперь внимание! Готовое блюдо можно накладывать на листике салата каждому гостю отдельно. Украсьте порции маслинками и посыпьте тертым грецким орехом. А вместе с салатом подайте в пиале белые сухарики. Теперь точно всё готово, и вы можете приступать к приему пищи! Приятного аппетита!",мясоед,"гриб,орех,курица,помидор,сухари,лимон,маслины",обед,350 г. Шампиньоны 300 г. Куриная грудка (филе) 1  шт. Помидоры 100 г. Сухари по вкусу Лимонный сок 10  шт. Маслины 0.25  стак. Орехи грецкие,"Салат с шампиньонами, помидорами и курицей",30
"Кальмара помойте, удалите хрящики и пленки. Нарежьте кусочками или полукольцами на свое усмотрение. Шампиньоны помойте, нарежьте пластинками. Лук почистите, измельчите. Разогрейте масло на сковороде. Выложите в неё лук и грибы. Включите средний огонь. Как грибы пустят сок, убавьте огонь и готовьте 4 минуты. Затем добавьте муку и перемешайте, продолжая готовить на медленном огне. Потом добавьте кальмара. Посолите, поперчите, влейте воду и лимонный сок. Тушите блюдо под крышкой в течение трёх минут. Выключите огонь, перемешайте и оставьте на 1 минуту настояться под крышкой. Зелень помойте и мелко нарежьте. Насыпьте ее в готовое блюдо и готовьте ещё 2 минуты. Разложите по тарелками и подавайте. Приятного аппетита!",мясоед,"кальмар,гриб,лук,мука,вода,лимон,зелень,масло,перец,соль",ужин,300 г. Кальмар тушка 150 г. Шампиньоны 1  шт. Репчатый лук 1 г. Мука 8  г. Вода 1  г. Сок лимона 1  г. Зелень 2  г. Растительное масло по вкусу Чёрный молотый перец по вкусу Соль,"Кальмары, тушенные с шампиньонами",40
"Мелко нарезать лук, помидоры и болгарский перец, добавить кукурузу (по желанию), обжарить все на небольшом количестве масла, переложить в миску, по желанию, можно добавить мелко нарезанный укроп (для свежести). Куриное филе нарезать тонкими брусочками (не более 1 см толщиной) и обжарить в оливковом масле на сильном огне 2–3 минуты, помешивая. Добавить томатную пасту, соль и перец, перемешать, подержать на огне еще 1 минуту и переложить мясо к овощам. Сыр чеддер натереть на крупной терке (также это может быть пармезан, гауда или другой твердый/полутвердый сыр). В тортилью на половину посыпать сыр, затем выложить начинку, сверху — еще слой сыра, накрыть второй половиной тортильи, разрезать пополам (как на картинке) и обжарить на сковороде или гриле 2–3 минуты с одной стороны, затем аккуратно перевернуть и поджарить с другой стороны еще 1–2 минуты.",мясоед,"курица,лук,помидор,сыр,перец,кукуруза,укроп,томатная паста,тортилья,соль,перец,масло",завтрак,3 шт. Куриная грудка 1 головка Репчатый лук 1  шт. Помидоры 100 г. Сыр чеддер 1  шт. Красный сладкий перец по вкусу Консервированная кукуруза по вкусу Укроп 100  г. Томатная паста 6 шт. Тортильи по вкусу Соль по вкусу Молотый черный перец по вкусу Оливковое масло,Кесадилья с курицей,60
"Измельчить оливки, лук, шпинат. Черри разрезать пополам. Болгарский перец порезать кубиками. Сыры поломать на кусочки руками. Болгарский перец немного обжарить на капле оливкового масла. Положить тортилью на сковороду. Слегка смазать ее оливковым маслом и перевернуть на другую сторону. Половину тортильи посыпать листьями шпината, оставив непосыпанным край. То же самое повторить с луком, жареным перцем, томатами, оливками, сыром фета и моцареллой, орегано и острым перцем. Накрыть все оставшейся половиной тортильи. Раскалить сковородку или гриль, при необходимости смазав маслом. Аккуратно выложить собранные кесадильи на сковороду и жарить, поворачивая, пока тортильи не подрумянятся, а сыр не расплавится.",веган,"тортилья,шпинат,лук,оливки,сыр,фета,моцарелла,орегано,перец,помидор",перекус,4 шт. Тортильи 30 мл Оливковое масло 15  шт. Свежие листья шпината 1 головка Красный лук 200  г. Оливки без косточек 350  г. Сыр моцарелла 15  шт. Свежие листья орегано 190  г. Сыр фета 2 шт. Красный сладкий перец по вкусу Красный перец хлопьями 16 шт. Красные помидоры,Кесадилья по‑гречески,40
"Отрезать от батона — можно обычного нарезного — три среднего размера ломтика. Корки срезать не надо. Положить их в миску и залить питьевой водой так, чтобы она полностью покрывала хлеб. Замочить хлеб можно и в молоке, но это уже будет некошерно. Очистить и крупно нарезать лук и целое яблоко. Количество лука зависит от вкуса едоков, но помните: чем дольше хранится форшмак, тем сильнее луковый дух. Оставшаяся половинка яблока пойдет на украшение, ее лучше не нарезать заранее, чтобы не успела потемнеть. Пропустить через мясорубку филе сельди, сваренные вкрутую яйца, лук, яблоки и хорошо отжатый хлеб. Выбирать решетку нужно исходя из требуемой текстуры форшмака. Можно и не пользоваться мясорубкой, а нарубить все ингредиенты ножом — это аутентичнее Подлить в получившийся форшмак белый уксус и хорошо перемешать. Можно добавить масло, оставшееся в упаковке сельди, и снова сделать массу однородной. Листы мацы разделить на прямоугольники, используя хлебный нож с волнистой режущей кромкой Переложить форшмак в кондитерский рожок и сделать им на каждом куске мацы фигурные горочки. Украсить ломтиками яблока и петрушкой. Получается красивая порционная сервировка — конечно, дома делают проще, выкладывая форшмак кирпичиком на блюдо",мясоед,"селедка,яблоко,хлеб,лук,яйцо,уксус,маца,петрушка",обед,500 г. Сельдь соленая 2 шт. Яблоки 100  г. Хлеб 0.5 шт. Лук репчатый 3  шт. Яйцо куриное 1  ч. л. Уксус 3  шт. Маца по вкусу Петрушка,Форшмак с мацой,80
"С булочек снять корки, раскрошить и залить их молоком. Оставить на 5-10 минут. Мелко нарубить шалот. Огурцы нарезать соломкой. Селедку нарезать не крупным кубиком, затем добавить к ней отжатую булочку и сливочное масло и продолжить рубить, смешивая ингредиенты до однородной массы. Добавить шалот, лимонный сок и еще раз прорубить все ножом. На ломтик бородинского хлебы выложить огурец, а сверху кнель форшмака.",мясоед,"селедка,лук,огурец,лимон,хлеб,масло,молоко",перекус,2 шт. Слабосоленая сельдь 2 шт. Свердловская булочка 2  шт. Лук-шалот 1 шт. Огурцы ½  шт. Лимоны 60  г. Сливочное масло по вкусу Бородинский хлеб 400  мл Молоко,Одесский форшмак,60
